timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,roll,pitch
26/11/2024 12:45,0.23,0,-0.91,-10.5,-5.62,-1.28,179.94,-13.87
26/11/2024 12:45,0.24,0.01,-0.9,-7.2,-4.88,-0.12,179.6,-14.7
26/11/2024 12:45,0.23,0,-0.9,-5.55,-4.33,0.98,179.75,-14.25
26/11/2024 12:45,0.23,0.03,-0.89,-7.51,-4.94,2.2,178.12,-14.36
26/11/2024 12:45,0.25,0.01,-0.91,-8.3,-4.88,2.62,179.66,-15.58
26/11/2024 12:45,0.24,0.03,-0.88,-15.2,-6.16,1.16,177.91,-15.01
26/11/2024 12:45,0.24,0.01,-0.92,-12.02,-8.36,-0.12,179.63,-14.41
26/11/2024 12:45,0.25,0.02,-0.91,-7.2,-2.93,-2.32,178.8,-15.36
26/11/2024 12:45,0.21,-0.02,-0.94,-11.84,-6.84,-1.59,-178.63,-12.73
26/11/2024 12:45,0.2,-0.02,-0.95,-2.75,-13.06,-1.65,-178.53,-11.87
26/11/2024 12:45,0.23,0.05,-0.93,-9.34,-15.87,5.55,177.06,-14
26/11/2024 12:45,0.27,0.03,-0.88,11.96,-25.21,11.54,178.1,-17.32
26/11/2024 12:45,0.27,-0.01,-0.95,2.08,-22.71,15.2,-179.62,-16.04
26/11/2024 12:45,0.33,0.03,-0.87,-0.61,-15.2,15.81,178.13,-20.81
26/11/2024 12:45,0.38,0.23,-0.78,11.96,-8.97,10.99,163.9,-25.08
26/11/2024 12:45,0.4,0.1,-0.78,-8.42,-12.08,1.16,172.64,-27.26
26/11/2024 12:45,0.36,0.25,-0.77,12.88,-12.7,-8.18,161.79,-23.99
26/11/2024 12:45,0.39,0.17,-0.79,-8.42,3.85,-12.39,167.82,-25.57
26/11/2024 12:45,0.34,0.24,-0.79,4.82,2.99,-14.4,163.31,-22.48
26/11/2024 12:45,0.29,0.18,-0.85,9.7,2.38,-9.77,168.25,-18.62
26/11/2024 12:45,0.35,0.24,-0.92,1.4,-1.28,-1.28,165.3,-20.02
26/11/2024 12:45,0.32,0.19,-0.86,2.2,-9.4,-7.2,167.47,-20.15
26/11/2024 12:45,0.38,0.12,-0.85,0.06,-5.43,-4.76,172.01,-23.76
26/11/2024 12:45,0.32,0.31,-0.78,5.55,-1.28,-1.34,157.99,-21.1
26/11/2024 12:45,0.3,0.18,-0.78,-21.36,16.78,3.05,167,-20.42
26/11/2024 12:45,0.25,0.26,-0.85,-12.08,13.49,-8.12,162.9,-15.77
26/11/2024 12:45,0.24,0.28,-0.84,-18.92,0.12,-9.16,161.31,-15.34
26/11/2024 12:45,0.27,0.23,-0.87,-5.74,-5.07,-7.39,165.56,-16.8
26/11/2024 12:45,0.26,0.2,-0.87,-12.08,-4.88,-4.52,167.07,-16.4
26/11/2024 12:45,0.31,0.26,-0.84,-4.52,-5.74,-3.48,162.84,-19.14
26/11/2024 12:45,0.26,0.25,-0.87,-6.35,-7.57,-1.83,163.87,-16.3
26/11/2024 12:45,0.29,0.23,-0.89,-7.93,-7.69,-2.38,165.36,-17.74
26/11/2024 12:45,0.28,0.27,-0.87,-11.9,-6.29,-3.91,162.64,-17.31
26/11/2024 12:45,0.3,0.21,-0.83,-4.82,-11.78,-3.11,165.5,-19.25
26/11/2024 12:45,0.28,0.24,-0.84,-9.7,-11.47,1.1,164.27,-17.92
26/11/2024 12:45,0.3,0.24,-0.84,-12.08,-8.06,0.98,163.94,-18.76
26/11/2024 12:45,0.33,0.23,-0.83,-5.13,-4.21,1.46,164.24,-21.16
26/11/2024 12:45,0.32,0.27,-0.85,-12.02,-5.49,-0.79,162.05,-19.81
26/11/2024 12:45,0.3,0.24,-0.85,-5.68,-5.19,-2.81,164.08,-18.97
26/11/2024 12:45,0.27,0.25,-0.82,-7.57,-3.66,-1.16,163.4,-17.35
26/11/2024 12:45,0.35,0.3,-0.84,12.45,-5.8,2.81,160.35,-21.25
26/11/2024 12:45,0.25,0.26,-0.86,-1.46,-1.71,0,163.29,-15.58
26/11/2024 12:45,0.26,0.29,-0.83,-18.98,-6.23,-3.48,160.64,-16.51
26/11/2024 12:45,0.31,0.25,-0.86,-6.16,-4.03,-1.53,163.94,-19.38
26/11/2024 12:45,0.28,0.25,-0.85,-9.4,-2.87,0.92,163.66,-17.78
26/11/2024 12:45,0.28,0.26,-0.84,-8.79,-2.2,-0.06,162.75,-17.88
26/11/2024 12:45,0.29,0.25,-0.86,-11.41,-4.52,0.55,163.83,-17.68
26/11/2024 12:45,0.29,0.25,-0.86,-7.45,-9.77,-0.55,163.87,-17.83
26/11/2024 12:45,0.29,0.25,-0.83,-10.44,-7.45,-0.18,163.14,-18.62
26/11/2024 12:45,0.28,0.27,-0.84,-8.97,-6.1,0.06,162.28,-17.39
26/11/2024 12:45,0.27,0.27,-0.83,-8.06,-5,-0.37,162.25,-17.22
26/11/2024 12:45,0.28,0.25,-0.86,-12.08,-3.78,-1.65,163.86,-17.49
26/11/2024 12:45,0.29,0.26,-0.84,-11.35,-3.85,-2.01,162.52,-18.54
26/11/2024 12:45,0.28,0.25,-0.85,-8.97,-3.97,-2.14,163.49,-17.8
26/11/2024 12:45,0.29,0.26,-0.86,-9.58,-3.91,-2.32,162.96,-18.24
26/11/2024 12:45,0.29,0.25,-0.85,-9.58,-6.84,-2.75,163.48,-17.94
26/11/2024 12:45,0.3,0.25,-0.86,-7.14,-6.59,-1.34,164.08,-18.59
26/11/2024 12:45,0.28,0.24,-0.85,-10.19,-4.76,-1.53,163.98,-17.81
26/11/2024 12:45,0.28,0.25,-0.84,-8.85,-6.29,-0.98,163.26,-17.47
26/11/2024 12:45,0.29,0.24,-0.84,-10.01,-5.8,-0.12,164.03,-18.53
26/11/2024 12:45,0.29,0.25,-0.85,-9.95,-5.19,0.18,163.59,-18.28
26/11/2024 12:45,0.28,0.24,-0.85,-11.72,-6.53,-0.92,164.02,-17.84
26/11/2024 12:45,0.3,0.23,-0.85,-11.29,-6.53,-1.59,164.69,-18.68
26/11/2024 12:45,0.29,0.24,-0.85,-7.32,-7.81,-0.49,164.24,-18.14
26/11/2024 12:45,0.3,0.24,-0.84,-5.13,-7.57,1.4,163.92,-18.59
26/11/2024 12:45,0.3,0.23,-0.84,-8.24,-4.58,1.4,164.42,-18.86
26/11/2024 12:45,0.29,0.25,-0.85,-10.01,-5.19,0.24,163.75,-18.3
26/11/2024 12:45,0.3,0.26,-0.85,-8.67,-4.52,0.92,162.92,-19.01
26/11/2024 12:45,0.29,0.25,-0.86,-8.67,-5.19,0.43,163.96,-18.15
26/11/2024 12:45,0.29,0.26,-0.85,-8.12,-5.37,-0.24,163.03,-18.38
26/11/2024 12:45,0.29,0.25,-0.84,-9.09,-6.29,-1.53,163.72,-18.14
26/11/2024 12:45,0.3,0.26,-0.83,-7.93,-5.98,-1.46,162.92,-18.87
26/11/2024 12:45,0.29,0.24,-0.85,-8.36,-5.31,-0.67,164.5,-18.13
26/11/2024 12:45,0.3,0.26,-0.85,-8.3,-5.31,-0.55,163.14,-18.47
26/11/2024 12:45,0.3,0.26,-0.85,-8.85,-6.23,-0.79,162.86,-18.78
26/11/2024 12:45,0.3,0.26,-0.84,-8.36,-6.53,-0.85,162.65,-18.88
26/11/2024 12:45,0.29,0.24,-0.85,-11.72,-4.94,-1.28,164.28,-17.8
26/11/2024 12:45,0.31,0.25,-0.84,-11.29,-6.96,-2.01,163.31,-19.34
26/11/2024 12:45,0.3,0.24,-0.85,-9.64,-6.77,-1.83,164.01,-18.94
26/11/2024 12:45,0.29,0.24,-0.83,-9.64,-5.62,-1.04,163.86,-18.71
26/11/2024 12:45,0.3,0.24,-0.84,-9.22,-5.25,0.12,163.88,-19.04
26/11/2024 12:45,0.31,0.24,-0.85,-7.93,-5.49,0.31,164.35,-19.34
26/11/2024 12:45,0.3,0.25,-0.85,-9.34,-5.8,-0.92,163.67,-18.8
26/11/2024 12:45,0.3,0.25,-0.84,-10.62,-6.59,-0.92,163.13,-18.91
26/11/2024 12:45,0.31,0.24,-0.85,-9.89,-5.8,-1.28,164.01,-19.37
26/11/2024 12:45,0.31,0.25,-0.84,-11.72,-3.72,-0.92,163.5,-19.51
26/11/2024 12:45,0.3,0.25,-0.85,-9.46,-5.43,-0.61,163.48,-18.73
26/11/2024 12:45,0.31,0.25,-0.85,-8.3,-5.98,-0.31,163.95,-19.44
26/11/2024 12:45,0.3,0.24,-0.84,-9.58,-6.04,0.37,164.08,-19.1
26/11/2024 12:45,0.31,0.25,-0.84,-8.54,-6.53,0.37,163.63,-19.3
26/11/2024 12:45,0.31,0.25,-0.85,-9.89,-4.33,0.37,163.53,-19.38
26/11/2024 12:45,0.31,0.25,-0.85,-9.77,-4.82,0.24,163.82,-19.19
26/11/2024 12:45,0.29,0.24,-0.84,-8.18,-8,-1.04,163.94,-18.56
26/11/2024 12:45,0.32,0.25,-0.84,-9.22,-6.77,-0.61,163.53,-20.19
26/11/2024 12:45,0.3,0.24,-0.85,-10.31,-4.58,0.61,164.05,-19.07
26/11/2024 12:45,0.31,0.25,-0.84,-9.4,-6.16,-0.49,163.73,-19.5
26/11/2024 12:45,0.31,0.25,-0.84,-8.73,-5,-1.46,163.62,-19.41
26/11/2024 12:45,0.31,0.25,-0.85,-10.44,-1.59,-1.53,163.68,-19.5
26/11/2024 12:45,0.32,0.24,-0.85,-6.04,-0.92,-2.2,164.38,-19.88
26/11/2024 12:45,0.29,0.23,-0.83,-6.71,4.7,-0.49,164.7,-18.44
26/11/2024 12:45,0.26,0.24,-0.85,-11.6,9.89,1.16,163.93,-16.15
26/11/2024 12:45,0.22,0.25,-0.85,-13.37,1.16,-0.55,163.46,-13.86
26/11/2024 12:45,0.26,0.25,-0.87,-7.51,-7.81,-1.65,163.91,-15.89
26/11/2024 12:45,0.25,0.25,-0.86,-10.01,-4.09,0.24,163.56,-15.6
26/11/2024 12:45,0.23,0.26,-0.85,-11.05,-2.81,0.49,163.25,-14.59
26/11/2024 12:45,0.24,0.26,-0.86,-7.93,-4.64,0.18,163.24,-15.04
26/11/2024 12:45,0.25,0.25,-0.88,-8.18,-3.11,1.28,164.4,-15.31
26/11/2024 12:45,0.22,0.26,-0.86,-8.36,-4.58,0.06,163.02,-13.59
26/11/2024 12:45,0.23,0.26,-0.86,-6.9,-6.04,-0.18,163.01,-14.32
26/11/2024 12:45,0.24,0.24,-0.87,-8.97,-5.13,0.18,164.46,-14.83
26/11/2024 12:45,0.23,0.25,-0.86,-10.68,-5.62,-0.06,163.72,-14.56
26/11/2024 12:45,0.23,0.25,-0.86,-8.3,-6.04,0.37,163.96,-14.28
26/11/2024 12:45,0.23,0.24,-0.86,-9.7,-6.1,0.37,164.38,-14.4
26/11/2024 12:45,0.23,0.24,-0.87,-12.33,-6.23,-1.34,164.52,-14.48
26/11/2024 12:45,0.24,0.26,-0.85,-10.62,-5.43,-0.98,162.71,-15.33
26/11/2024 12:45,0.23,0.25,-0.86,-7.14,-4.58,1.16,163.63,-14.57
26/11/2024 12:45,0.23,0.27,-0.87,-6.71,-5.86,1.28,163.04,-14.33
26/11/2024 12:45,0.23,0.25,-0.87,-9.22,-6.23,-0.73,164.08,-14.44
26/11/2024 12:45,0.23,0.26,-0.86,-8.91,-5.37,-1.34,163.22,-14.39
26/11/2024 12:45,0.23,0.26,-0.86,-9.52,-6.53,-1.89,163.38,-14.24
26/11/2024 12:45,0.25,0.26,-0.84,-7.81,-5.86,-1.1,162.81,-15.85
26/11/2024 12:45,0.24,0.27,-0.86,-6.1,-6.04,0.98,162.49,-14.76
26/11/2024 12:45,0.24,0.26,-0.86,-6.53,-6.41,1.53,163.34,-15.07
26/11/2024 12:45,0.24,0.29,-0.86,-4.52,-6.53,0,161.55,-14.74
26/11/2024 12:45,0.23,0.28,-0.85,-8.48,-4.58,-0.73,161.58,-14.38
26/11/2024 12:45,0.23,0.28,-0.85,-8.61,-5.25,-1.1,161.79,-14.56
26/11/2024 12:45,0.24,0.28,-0.86,-9.46,-4.52,-0.98,162.21,-14.89
26/11/2024 12:45,0.23,0.28,-0.86,-10.74,-3.91,-1.04,161.97,-14.39
26/11/2024 12:45,0.24,0.28,-0.86,-8.91,-5.86,-1.04,162.17,-14.73
26/11/2024 12:45,0.23,0.27,-0.86,-10.62,-6.53,-0.43,162.68,-14.55
26/11/2024 12:45,0.24,0.27,-0.85,-7.63,-7.14,-0.73,162.39,-14.89
26/11/2024 12:45,0.24,0.27,-0.85,-10.8,-5.19,-1.28,162.35,-14.89
26/11/2024 12:45,0.25,0.27,-0.86,-11.05,-4.09,-1.28,162.7,-15.3
26/11/2024 12:45,0.24,0.26,-0.86,-10.31,-4.64,-2.08,163,-14.92
26/11/2024 12:45,0.24,0.26,-0.86,-10.13,-4.52,-0.92,163.18,-14.81
26/11/2024 12:45,0.23,0.27,-0.86,-9.4,-6.16,-0.61,162.71,-14.1
26/11/2024 12:45,0.25,0.25,-0.87,-8.36,-6.41,-0.55,163.62,-15.28
26/11/2024 12:45,0.24,0.27,-0.85,-9.77,-5.37,-0.92,162.55,-14.83
26/11/2024 12:45,0.23,0.26,-0.86,-9.16,-5.98,-1.04,163.21,-14.66
26/11/2024 12:45,0.24,0.26,-0.86,-8.67,-5.37,-1.34,163.17,-14.65
26/11/2024 12:45,0.24,0.25,-0.86,-8.3,-6.35,-2.26,163.71,-15.09
26/11/2024 12:45,0.24,0.26,-0.85,-9.64,-6.35,-2.75,163.29,-15.13
26/11/2024 12:45,0.25,0.25,-0.86,-12.02,-5.74,-2.5,163.71,-15.47
26/11/2024 12:45,0.26,0.24,-0.86,-11.17,-5.74,-1.59,164.36,-15.96
26/11/2024 12:45,0.24,0.25,-0.85,-9.7,-4.94,0.85,163.47,-15.03
26/11/2024 12:45,0.24,0.24,-0.86,-8.06,-6.04,2.08,164.18,-15.05
26/11/2024 12:45,0.24,0.26,-0.85,-7.57,-5.49,1.59,163.07,-15.22
26/11/2024 12:45,0.25,0.26,-0.85,-8.97,-5.74,0.24,163.17,-15.77
26/11/2024 12:45,0.25,0.26,-0.86,-9.4,-6.23,-1.4,163.21,-15.54
26/11/2024 12:45,0.25,0.26,-0.86,-9.83,-5.37,-1.46,163.38,-15.41
26/11/2024 12:45,0.24,0.25,-0.86,-9.28,-5.68,-1.16,163.76,-14.93
26/11/2024 12:45,0.24,0.25,-0.85,-9.46,-5.31,-0.31,163.39,-15.17
26/11/2024 12:45,0.25,0.26,-0.87,-8.54,-3.91,0.79,163.58,-15.24
26/11/2024 12:45,0.25,0.26,-0.86,-8.61,-5.74,-0.61,163.07,-15.41
26/11/2024 12:45,0.25,0.26,-0.86,-8.79,-6.96,-1.95,163.28,-15.7
26/11/2024 12:45,0.25,0.26,-0.85,-9.46,-5.62,-2.38,163.26,-15.49
26/11/2024 12:45,0.24,0.25,-0.87,-9.28,-5,-1.16,164.19,-15.09
26/11/2024 12:45,0.25,0.25,-0.87,-9.28,-6.65,-0.18,164.17,-15.58
26/11/2024 12:45,0.25,0.24,-0.86,-8.24,-6.65,-0.98,164.32,-15.5
26/11/2024 12:45,0.25,0.26,-0.86,-9.95,-6.1,-0.06,163.43,-15.25
26/11/2024 12:45,0.26,0.25,-0.85,-8.24,-8.06,-1.71,163.46,-16
26/11/2024 12:45,0.26,0.24,-0.85,-11.35,-6.9,-2.56,164.21,-16.28
26/11/2024 12:45,0.26,0.24,-0.86,-10.07,-4.82,-1.77,164.19,-16.05
26/11/2024 12:45,0.24,0.24,-0.85,-9.83,-4.27,0.18,164.49,-15.41
26/11/2024 12:45,0.25,0.26,-0.86,-8.67,-3.66,2.26,163.36,-15.83
26/11/2024 12:45,0.25,0.25,-0.86,-6.41,-5.8,0.98,163.54,-15.68
26/11/2024 12:45,0.26,0.25,-0.87,-9.16,-6.16,-1.28,163.59,-15.84
26/11/2024 12:45,0.25,0.26,-0.86,-9.16,-6.04,-1.77,163.09,-15.82
26/11/2024 12:45,0.26,0.25,-0.86,-9.28,-6.04,-1.77,163.97,-16.4
26/11/2024 12:45,0.26,0.24,-0.85,-9.34,-5.37,-1.28,164.06,-16.14
26/11/2024 12:45,0.26,0.26,-0.86,-8.79,-5.74,0,163.07,-16.01
26/11/2024 12:45,0.26,0.26,-0.86,-7.57,-6.96,-0.18,163.12,-16.34
26/11/2024 12:45,0.26,0.26,-0.85,-8.36,-5.62,-0.61,162.89,-16.39
26/11/2024 12:45,0.25,0.25,-0.86,-9.58,-5.37,-1.28,163.64,-15.87
26/11/2024 12:45,0.26,0.26,-0.85,-9.64,-6.53,-1.1,163.34,-16.49
26/11/2024 12:45,0.27,0.23,-0.85,-8.48,-7.69,-1.4,164.6,-16.8
26/11/2024 12:45,0.27,0.25,-0.86,-10.25,-6.29,-1.1,163.58,-17.06
26/11/2024 12:45,0.26,0.27,-0.85,-8.42,-6.53,-1.59,162.51,-16.29
26/11/2024 12:45,0.27,0.25,-0.85,-7.2,-8.54,-2.99,163.85,-16.91
26/11/2024 12:45,0.27,0.28,-0.84,-12.63,-7.32,-3.05,161.47,-17.12
26/11/2024 12:45,0.28,0.25,-0.84,-12.94,-8.36,-2.08,163.22,-17.83
26/11/2024 12:45,0.29,0.24,-0.85,-3.85,-12.27,0.06,164.39,-18.23
26/11/2024 12:45,0.31,0.23,-0.86,-9.7,-7.2,0.43,164.89,-19.06
26/11/2024 12:45,0.29,0.25,-0.84,-10.13,-4.27,-1.53,163.43,-18.3
26/11/2024 12:45,0.31,0.25,-0.86,-13.67,-8.3,-2.5,164.1,-19.05
26/11/2024 12:45,0.32,0.24,-0.84,-9.4,-11.05,-3.11,163.92,-19.84
26/11/2024 12:45,0.32,0.24,-0.84,-7.32,-9.16,-1.77,164.18,-20.32
26/11/2024 12:45,0.32,0.23,-0.83,-9.52,-8.36,-2.2,164.42,-20.18
26/11/2024 12:45,0.33,0.23,-0.84,-7.63,-9.64,-2.81,164.67,-20.44
26/11/2024 12:45,0.33,0.2,-0.84,-13.06,-7.02,-2.69,166.6,-20.64
26/11/2024 12:45,0.32,0.23,-0.82,-7.81,-6.04,-1.53,164.7,-20.65
26/11/2024 12:45,0.35,0.21,-0.84,-6.96,-4.33,-0.18,165.69,-21.83
26/11/2024 12:45,0.35,0.23,-0.85,-7.02,-3.85,0.67,165.08,-21.65
26/11/2024 12:45,0.33,0.23,-0.85,-7.69,-5.49,-0.06,165.07,-20.69
26/11/2024 12:45,0.35,0.24,-0.85,-9.4,-7.39,-0.55,164.31,-21.49
26/11/2024 12:45,0.33,0.23,-0.85,-8.67,-6.53,1.95,164.48,-20.67
26/11/2024 12:45,0.33,0.23,-0.83,-7.08,-4.15,1.1,164.37,-21.15
26/11/2024 12:45,0.32,0.23,-0.84,-9.77,-3.6,-0.43,164.59,-20.41
26/11/2024 12:45,0.33,0.24,-0.85,-9.95,-5,-1.04,164.02,-20.65
26/11/2024 12:45,0.34,0.25,-0.85,-7.45,-7.39,-1.83,163.65,-21.03
26/11/2024 12:45,0.33,0.24,-0.83,-8.54,-7.57,-2.44,163.98,-21.12
26/11/2024 12:45,0.33,0.23,-0.83,-8.85,-5.8,-2.01,164.59,-21.19
26/11/2024 12:45,0.34,0.22,-0.85,-12.21,-4.46,-2.38,165.32,-20.94
26/11/2024 12:45,0.34,0.24,-0.83,-9.83,-5.86,-2.2,164.08,-21.36
26/11/2024 12:45,0.34,0.22,-0.84,-8.24,-5.74,-0.79,165.19,-21.41
26/11/2024 12:45,0.33,0.23,-0.84,-8.67,-3.78,-0.43,164.49,-20.51
26/11/2024 12:45,0.35,0.23,-0.84,-9.4,-4.46,-1.46,164.49,-21.66
26/11/2024 12:45,0.34,0.23,-0.85,-7.69,-6.59,-2.2,164.9,-21.15
26/11/2024 12:45,0.34,0.22,-0.84,-7.63,-5.68,-0.85,165.23,-21.48
26/11/2024 12:45,0.34,0.24,-0.83,-7.51,-5.68,0,164.07,-21.43
26/11/2024 12:45,0.34,0.24,-0.83,-8.3,-6.04,-0.49,164.23,-21.42
26/11/2024 12:45,0.34,0.24,-0.84,-9.09,-5.13,-1.4,164.1,-21.3
26/11/2024 12:45,0.34,0.23,-0.84,-9.77,-4.82,-2.26,164.53,-21.64
26/11/2024 12:45,0.33,0.23,-0.83,-8.67,-4.64,-1.46,164.42,-21.11
26/11/2024 12:45,0.34,0.23,-0.83,-10.93,-3.72,-1.28,164.56,-21.32
26/11/2024 12:45,0.35,0.23,-0.83,-9.46,-5.92,-2.01,164.32,-22.12
26/11/2024 12:45,0.34,0.22,-0.84,-8,-6.35,-0.85,165.3,-21.21
26/11/2024 12:45,0.33,0.23,-0.83,-9.58,-4.03,-0.92,164.18,-20.76
26/11/2024 12:45,0.34,0.23,-0.84,-10.07,-5.49,-1.65,164.89,-21.22
26/11/2024 12:45,0.33,0.22,-0.84,-7.39,-5.98,-0.79,165.34,-21.15
26/11/2024 12:45,0.32,0.23,-0.83,-10.56,-4.27,-0.24,164.48,-20.31
26/11/2024 12:45,0.34,0.24,-0.83,-9.52,-5.98,-0.49,163.7,-21.4
