Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Roll,Pitch
24/11/2024 15:24,0.34,0.24,-0.83,-9.52,-5.8,-3.78,163.61,-21.63
24/11/2024 15:24,0.32,0.26,-0.83,-14.95,-1.4,-3.66,162.35,-20.37
24/11/2024 15:24,0.33,0.24,-0.85,-12.76,-4.52,-3.23,164.06,-20.63
24/11/2024 15:24,0.35,0.23,-0.85,-7.08,-6.65,-0.79,164.78,-21.44
24/11/2024 15:24,0.34,0.25,-0.81,-6.1,-5.43,0.37,162.83,-22.07
24/11/2024 15:24,0.35,0.25,-0.82,-7.87,-4.76,-1.04,163.39,-21.93
24/11/2024 15:24,0.31,0.25,-0.86,-8.79,-3.23,-0.49,163.96,-19.24
24/11/2024 15:24,0.32,0.26,-0.85,-9.46,-3.17,-0.67,162.74,-19.8
24/11/2024 15:24,0.33,0.27,-0.86,-5.98,-7.63,0.67,162.58,-20.12
24/11/2024 15:24,0.42,0.26,-0.93,-0.49,-15.81,-1.71,164.04,-23.48
24/11/2024 15:24,0.73,0.41,-1.16,-34.79,-41.14,-8.12,160.62,-30.8
24/11/2024 15:24,0.93,0.42,-1.58,-16.3,-117.07,-27.47,165.1,-29.59
24/11/2024 15:24,0.7,0.34,-1.33,-2.2,-206.97,-53.65,165.7,-27.01
24/11/2024 15:24,0.62,0.17,-0.68,-11.47,-223.08,-64.39,166,-41.61
24/11/2024 15:24,0.47,0.08,-0.32,-11.41,-213.5,-52.8,165.33,-54.75
24/11/2024 15:24,0.33,0.01,0.15,0.12,-201.6,-41.81,4.54,-65.92
24/11/2024 15:24,0.29,-0.07,0.55,4.09,-182.43,-40.95,-7.7,-27.39
24/11/2024 15:24,0.18,-0.17,0.84,2.44,-158.87,-45.96,-11.19,-11.7
24/11/2024 15:24,0.18,-0.21,1.01,0.06,-140.75,-41.02,-11.81,-9.63
24/11/2024 15:24,-0.04,-0.21,0.98,15.08,-128.05,-35.46,-12.25,2.47
24/11/2024 15:24,-0.32,-0.28,0.96,1.28,-104.55,-38.21,-16.12,17.88
24/11/2024 15:24,-0.49,-0.27,0.99,-9.16,-73.43,-40.77,-15.46,25.36
24/11/2024 15:24,-0.75,-0.4,0.99,-9.09,-38.45,-22.28,-21.99,35.04
24/11/2024 15:24,-0.83,-0.27,1.06,-13.73,15.63,26.31,-14.29,37.24
24/11/2024 15:24,-0.86,-0.2,1.03,-3.85,74.77,57.43,-11.25,39.5
24/11/2024 15:24,-0.62,-0.02,0.7,26.67,156.49,28.08,-1.57,41.9
24/11/2024 15:24,-0.56,-0.34,0.33,13.98,280.03,9.58,-46.25,49.96
24/11/2024 15:24,-0.08,-0.2,-0.01,23.86,372.13,22.09,-92.69,21.71
24/11/2024 15:24,0.06,-0.16,-0.65,48.58,409.36,44.31,-165.73,-5.56
24/11/2024 15:24,-0.36,-0.78,-2.43,-78.37,490.42,70.19,-162.31,8.1
24/11/2024 15:24,-0.15,-0.52,-2.26,-30.33,220.7,-7.32,-167.1,3.57
24/11/2024 15:24,0,-0.46,-1.76,9.46,-21.12,-32.47,-165.29,-0.06
24/11/2024 15:24,-0.01,-0.3,-1.01,-6.53,-35.03,4.03,-163.47,0.45
24/11/2024 15:24,-0.1,-0.27,-0.82,21.79,-30.52,11.23,-161.59,6.33
24/11/2024 15:24,-0.07,-0.24,-0.89,60.85,-24.9,5.31,-164.75,4.24
24/11/2024 15:24,-0.09,-0.23,-0.77,118.04,-55.3,26,-163.56,6.38
24/11/2024 15:24,0.17,0.13,-0.96,65.12,4.39,52.61,172.28,-10.07
24/11/2024 15:24,0.06,0.31,-1.04,-4.46,-5.68,11.41,163.49,-3.16
24/11/2024 15:24,0.22,0.39,-1.17,-10.93,-47.91,-23.5,161.37,-10.04
24/11/2024 15:24,0.6,0.54,-1.79,-2.44,-128.54,-44.62,163.08,-17.84
24/11/2024 15:24,0.65,0.47,-1.92,10.62,-265.2,-89.23,166.09,-18.34
24/11/2024 15:24,0.48,0.4,-1.18,6.16,-320.5,-106.26,161.45,-21.02
24/11/2024 15:24,0.24,0.18,-0.56,-0.12,-301.45,-93.44,162.44,-22.57
24/11/2024 15:24,-0.09,0.03,0.03,-9.09,-277.83,-86.06,45.82,61.19
24/11/2024 15:24,-0.31,-0.07,0.44,-6.53,-242,-71.84,-9.54,35.08
24/11/2024 15:24,-0.49,-0.11,0.73,0.98,-201.6,-66.16,-8.29,33.95
24/11/2024 15:24,-0.92,-0.27,0.98,8.61,-167.42,-64.58,-15.55,42.14
24/11/2024 15:24,-1.07,-0.37,1.07,-6.65,-72.02,-30.64,-19.24,43.52
24/11/2024 15:24,-0.95,-0.37,0.96,-16.17,17.82,11.05,-21,42.59
24/11/2024 15:24,-1.05,-0.11,0.91,-8.12,70.19,58.11,-6.89,48.92
