Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Roll,Pitch
20/11/2024 14:54,0.36,0.05,-0.87,-9.83,-3.54,-0.85,176.44,-22.56
20/11/2024 14:54,0.34,0.05,-0.86,-9.52,-5.31,-1.04,176.46,-21.41
20/11/2024 14:54,0.35,0.06,-0.86,-8.12,-5.43,0.49,176.11,-21.84
20/11/2024 14:54,0.34,0.06,-0.86,-7.57,-5.37,0.85,176.26,-21.65
20/11/2024 14:54,0.35,0.05,-0.88,-9.4,-5.31,0.24,176.66,-21.53
20/11/2024 14:54,0.4,0.04,-0.92,-11.47,-8.73,0.37,177.53,-23.42
20/11/2024 14:54,0.75,-0.01,-1.44,-29.79,-45.35,-2.2,-179.42,-27.63
20/11/2024 14:54,0.85,0.06,-1.69,-19.04,-176.94,-12.08,177.92,-26.64
20/11/2024 14:54,0.79,-0.02,-1.37,-28.81,-246.22,-15.93,-178.96,-29.83
20/11/2024 14:54,0.53,0.02,-0.59,-22.28,-273.13,-15.26,178.43,-41.88
20/11/2024 14:54,0.39,-0.03,-0.11,-31.49,-264.95,-12.63,-163.65,-73.63
20/11/2024 14:54,0.07,0.04,0.53,-18.37,-235.9,-15.81,4.82,-7.44
20/11/2024 14:54,0.07,-0.03,0.79,-16.78,-190.8,-24.29,-2.31,-5.39
20/11/2024 14:54,-0.07,-0.07,0.98,-17.33,-149.48,-28.2,-3.99,4.01
20/11/2024 14:54,-0.26,-0.06,1.01,-17.09,-127.87,-28.5,-3.5,14.32
20/11/2024 14:54,-0.37,-0.02,0.98,-15.26,-111.69,-27.4,-0.97,20.66
20/11/2024 14:54,-0.61,0.02,1,-16.11,-84.84,-25.45,1.21,31.34
20/11/2024 14:54,-0.66,0.03,0.94,-12.82,-54.75,-26.25,1.7,35.27
20/11/2024 14:54,-0.79,0.01,0.93,-12.76,-25.15,-16.97,0.82,40.27
20/11/2024 14:54,-0.71,0.03,0.95,-8.79,-4.52,-4.64,1.64,36.62
20/11/2024 14:54,-0.83,0.06,0.93,-4.39,13.73,4.88,3.94,41.77
20/11/2024 14:54,-1.47,0.09,0.92,7.26,76.48,20.02,5.54,57.88
20/11/2024 14:54,-1.52,0.3,0.71,39.73,262.39,56.58,23.25,63.05
20/11/2024 14:54,-0.62,0.27,0.16,70.01,405.09,95.95,60.28,63.08
20/11/2024 14:54,-0.1,0.27,-0.49,58.35,452.94,106.2,151.53,10.55
20/11/2024 14:54,-0.22,-0.24,-2,-117.86,506.77,54.02,-173.07,6.36
20/11/2024 14:54,0.4,0.19,-1.82,35.64,156.31,4.58,174.06,-12.33
20/11/2024 14:54,0.44,0.11,-1.55,6.71,-25.76,1.71,176.07,-15.69
20/11/2024 14:54,0.27,-0.02,-0.96,2.38,-22.22,6.04,-178.95,-15.74
20/11/2024 14:54,0.32,0.13,-0.79,-10.5,-15.87,7.81,170.77,-21.82
